Accident_Report,Cleaned_Report
"On 02 Oct 2023, at 05:53 AM, a Jeep collided with a a cow at NH85 near Thrissur. The rider, wearing a seatbelt, suffered a head injury and was declared dead on the spot. The cause of the accident was determined to be over-speeding.",oct jeep collided cow nh near thrissur rider wearing seatbelt suffered head injury declared dead spot cause accident determined overspeeding
"On 03 Nov 2023, at 06:59 AM, a truck collided with a a stray dog at NH766 near Malappuram. The rider, not wearing a seatbelt, suffered a minor bruises and is recovering. The cause of the accident was determined to be distracted driving.",nov truck collided stray dog nh near malappuram rider wearing seatbelt suffered minor bruise recovering cause accident determined distracted driving
"On 04 Feb 2024, at 12:33 AM, a auto-rickshaw collided with a a stray dog at NH544 near Kozhikode. The rider suffered a multiple injuries and succumbed. The cause of the accident was determined to be distracted driving.",feb autorickshaw collided stray dog nh near kozhikode rider suffered multiple injury succumbed cause accident determined distracted driving
"On 21 Mar 2023, at 09:02 PM, a auto-rickshaw collided with a a cow at NH766 near Palakkad. The rider suffered a multiple injuries and is recovering. The cause of the accident was determined to be drunk driving.",mar pm autorickshaw collided cow nh near palakkad rider suffered multiple injury recovering cause accident determined drunk driving
"On 03 Feb 2025, at 06:26 AM, a auto-rickshaw collided with a a cow at NH544 near Kollam. The rider suffered a arm fracture and succumbed. The cause of the accident was determined to be over-speeding.",feb autorickshaw collided cow nh near kollam rider suffered arm fracture succumbed cause accident determined overspeeding
"On 11 Jun 2023, at 08:31 PM, a bicycle collided with a a cow at NH544 near Kollam. The rider suffered a leg fracture and was declared dead on the spot. The cause of the accident was determined to be vehicle malfunction.",jun pm bicycle collided cow nh near kollam rider suffered leg fracture declared dead spot cause accident determined vehicle malfunction
"On 01 Jul 2023, at 12:34 AM, a auto-rickshaw collided with a a stray dog at NH183 near Malappuram. The rider suffered a head injury and was declared dead on the spot. The cause of the accident was determined to be wrong side driving.",jul autorickshaw collided stray dog nh near malappuram rider suffered head injury declared dead spot cause accident determined wrong side driving
"On 28 Jan 2023, at 10:53 AM, a car collided with a a stray dog at NH544 near Malappuram. The rider, wearing a seatbelt, suffered a minor bruises and is in critical condition. The cause of the accident was determined to be drunk driving.",jan car collided stray dog nh near malappuram rider wearing seatbelt suffered minor bruise critical condition cause accident determined drunk driving
"On 28 Dec 2023, at 05:26 AM, a truck collided with a a cow at NH544 near Kottayam. The rider, wearing a seatbelt, suffered a head injury and was declared dead on the spot. The cause of the accident was determined to be weather conditions.",dec truck collided cow nh near kottayam rider wearing seatbelt suffered head injury declared dead spot cause accident determined weather condition
"On 11 May 2023, at 02:29 AM, a car collided with a a stray dog at NH85 near Alappuzha. The rider, not wearing a seatbelt, suffered a leg fracture and is in critical condition. The cause of the accident was determined to be red light jumping.",may car collided stray dog nh near alappuzha rider wearing seatbelt suffered leg fracture critical condition cause accident determined red light jumping
"On 31 Dec 2023, at 12:34 AM, a bicycle collided with a a cow at NH66 near Alappuzha. The rider suffered a arm fracture and succumbed. The cause of the accident was determined to be red light jumping.",dec bicycle collided cow nh near alappuzha rider suffered arm fracture succumbed cause accident determined red light jumping
"On 20 Apr 2023, at 06:35 AM, a car collided with a a stray dog at NH85 near Kottayam. The rider, wearing a seatbelt, suffered a head injury and is in critical condition. The cause of the accident was determined to be road conditions.",apr car collided stray dog nh near kottayam rider wearing seatbelt suffered head injury critical condition cause accident determined road condition
"On 01 May 2023, at 07:32 AM, a truck collided with a a stray dog at NH544 near Kasargod. The rider, not wearing a seatbelt, suffered a leg fracture and was declared dead on the spot. The cause of the accident was determined to be over-speeding.",may truck collided stray dog nh near kasargod rider wearing seatbelt suffered leg fracture declared dead spot cause accident determined overspeeding
"On 11 Jan 2024, at 07:09 AM, a Jeep collided with a a cow at NH544 near Kozhikode. The rider, wearing a seatbelt, suffered a arm fracture and is recovering. The cause of the accident was determined to be road conditions.",jan jeep collided cow nh near kozhikode rider wearing seatbelt suffered arm fracture recovering cause accident determined road condition
"On 26 Dec 2023, at 05:38 AM, a auto-rickshaw collided with a a cow at NH85 near Kollam. The rider suffered a multiple injuries and succumbed. The cause of the accident was determined to be weather conditions.",dec autorickshaw collided cow nh near kollam rider suffered multiple injury succumbed cause accident determined weather condition
"On 15 Jul 2024, at 11:49 AM, a Jeep collided with a a stray dog at NH66 near Kottayam. The rider, not wearing a seatbelt, suffered a head injury and succumbed. The cause of the accident was determined to be red light jumping.",jul jeep collided stray dog nh near kottayam rider wearing seatbelt suffered head injury succumbed cause accident determined red light jumping
"On 04 Sep 2024, at 08:34 AM, a bicycle collided with a a cow at NH85 near Kannur. The rider suffered a arm fracture and is recovering. The cause of the accident was determined to be traffic rule violation.",sep bicycle collided cow nh near kannur rider suffered arm fracture recovering cause accident determined traffic rule violation
"On 26 Jan 2024, at 08:25 PM, a auto-rickshaw collided with a a cow at NH183 near Kannur. The rider suffered a leg fracture and is recovering. The cause of the accident was determined to be drunk driving.",jan pm autorickshaw collided cow nh near kannur rider suffered leg fracture recovering cause accident determined drunk driving
"On 29 Feb 2024, at 02:21 AM, a bicycle collided with a a cow at NH66 near Kollam. The rider suffered a multiple injuries and is recovering. The cause of the accident was determined to be traffic rule violation.",feb bicycle collided cow nh near kollam rider suffered multiple injury recovering cause accident determined traffic rule violation
"On 28 Oct 2023, at 02:53 PM, a bicycle collided with a a stray dog at NH183 near Alappuzha. The rider suffered a head injury and is in critical condition. The cause of the accident was determined to be traffic rule violation.",oct pm bicycle collided stray dog nh near alappuzha rider suffered head injury critical condition cause accident determined traffic rule violation
"On 08 Oct 2023, at 01:05 PM, a Jeep collided with a a cow at NH66 near Trivandrum. The rider, wearing a seatbelt, suffered a arm fracture and succumbed. The cause of the accident was determined to be wrong side driving.",oct pm jeep collided cow nh near trivandrum rider wearing seatbelt suffered arm fracture succumbed cause accident determined wrong side driving
"On 17 Jul 2024, at 02:48 AM, a bicycle collided with a a stray dog at NH766 near Trivandrum. The rider suffered a multiple injuries and was declared dead on the spot. The cause of the accident was determined to be traffic rule violation.",jul bicycle collided stray dog nh near trivandrum rider suffered multiple injury declared dead spot cause accident determined traffic rule violation
"On 16 Mar 2023, at 07:51 AM, a car collided with a a cow at NH85 near Kochi. The rider, not wearing a seatbelt, suffered a leg fracture and is recovering. The cause of the accident was determined to be wrong side driving.",mar car collided cow nh near kochi rider wearing seatbelt suffered leg fracture recovering cause accident determined wrong side driving
"On 02 May 2023, at 11:56 PM, a bicycle collided with a a stray dog at NH85 near Trivandrum. The rider suffered a head injury and is in critical condition. The cause of the accident was determined to be drunk driving.",may pm bicycle collided stray dog nh near trivandrum rider suffered head injury critical condition cause accident determined drunk driving
"On 28 Jul 2023, at 03:27 AM, a truck collided with a a stray dog at NH766 near Idukki. The rider, wearing a seatbelt, suffered a minor bruises and was declared dead on the spot. The cause of the accident was determined to be red light jumping.",jul truck collided stray dog nh near idukki rider wearing seatbelt suffered minor bruise declared dead spot cause accident determined red light jumping
"On 12 Aug 2023, at 03:54 AM, a truck collided with a a stray dog at NH85 near Alappuzha. The rider, not wearing a seatbelt, suffered a head injury and is recovering. The cause of the accident was determined to be vehicle malfunction.",aug truck collided stray dog nh near alappuzha rider wearing seatbelt suffered head injury recovering cause accident determined vehicle malfunction
"On 21 Mar 2024, at 09:08 AM, a car collided with a a stray dog at NH544 near Idukki. The rider, not wearing a seatbelt, suffered a leg fracture and is recovering. The cause of the accident was determined to be road conditions.",mar car collided stray dog nh near idukki rider wearing seatbelt suffered leg fracture recovering cause accident determined road condition
"On 14 Sep 2024, at 10:40 PM, a bicycle collided with a a stray dog at NH183 near Pathanamthitta. The rider suffered a head injury and is in critical condition. The cause of the accident was determined to be wrong side driving.",sep pm bicycle collided stray dog nh near pathanamthitta rider suffered head injury critical condition cause accident determined wrong side driving
"On 09 Apr 2024, at 11:52 AM, a Jeep collided with a a stray dog at NH544 near Kozhikode. The rider, not wearing a seatbelt, suffered a head injury and succumbed. The cause of the accident was determined to be red light jumping.",apr jeep collided stray dog nh near kozhikode rider wearing seatbelt suffered head injury succumbed cause accident determined red light jumping
"On 08 Aug 2024, at 07:14 AM, a Jeep collided with a a cow at NH66 near Palakkad. The rider, wearing a seatbelt, suffered a head injury and was declared dead on the spot. The cause of the accident was determined to be drunk driving.",aug jeep collided cow nh near palakkad rider wearing seatbelt suffered head injury declared dead spot cause accident determined drunk driving
"On 16 Aug 2024, at 09:40 PM, a truck collided with a a stray dog at NH183 near Thrissur. The rider, wearing a seatbelt, suffered a head injury and succumbed. The cause of the accident was determined to be road conditions.",aug pm truck collided stray dog nh near thrissur rider wearing seatbelt suffered head injury succumbed cause accident determined road condition
"On 30 Apr 2024, at 11:50 PM, a truck collided with a a cow at NH85 near Palakkad. The rider, not wearing a seatbelt, suffered a multiple injuries and is recovering. The cause of the accident was determined to be road conditions.",apr pm truck collided cow nh near palakkad rider wearing seatbelt suffered multiple injury recovering cause accident determined road condition
"On 10 May 2023, at 07:29 AM, a truck collided with a a stray dog at NH183 near Palakkad. The rider, not wearing a seatbelt, suffered a minor bruises and was declared dead on the spot. The cause of the accident was determined to be wrong side driving.",may truck collided stray dog nh near palakkad rider wearing seatbelt suffered minor bruise declared dead spot cause accident determined wrong side driving
"On 02 Oct 2024, at 08:57 AM, a auto-rickshaw collided with a a cow at NH544 near Trivandrum. The rider suffered a head injury and succumbed. The cause of the accident was determined to be over-speeding.",oct autorickshaw collided cow nh near trivandrum rider suffered head injury succumbed cause accident determined overspeeding
"On 06 Nov 2024, at 10:21 PM, a truck collided with a a cow at NH66 near Thrissur. The rider, not wearing a seatbelt, suffered a minor bruises and is recovering. The cause of the accident was determined to be road conditions.",nov pm truck collided cow nh near thrissur rider wearing seatbelt suffered minor bruise recovering cause accident determined road condition
"On 01 Nov 2023, at 08:05 AM, a bicycle collided with a a cow at NH85 near Idukki. The rider suffered a minor bruises and is in critical condition. The cause of the accident was determined to be drunk driving.",nov bicycle collided cow nh near idukki rider suffered minor bruise critical condition cause accident determined drunk driving
